LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Frabosa Sottana;1/6/2010;"20";"10";"24";"7";"44";"10";"6";"10";"0";"1008";"0";"0";""
Frabosa Sottana;2/6/2010;"22";"11";"25";"9";"48";"10";"7";"13";"0";"1007";"0";"0";""
Frabosa Sottana;3/6/2010;"21";"13";"26";"9";"49";"10";"5";"7";"0";"1010";"0";"0";""
Frabosa Sottana;4/6/2010;"24";"16";"28";"12";"50";"0";"4";"7";"0";"1015";"0";"0";""
Frabosa Sottana;5/6/2010;"24";"17";"27";"15";"59";"7";"5";"8";"0";"1019";"0";"0";""
Frabosa Sottana;6/6/2010;"23";"20";"26";"17";"72";"8";"9";"61";"0";"1016";"0";"0";""
Frabosa Sottana;7/6/2010;"22";"18";"25";"17";"79";"5";"5";"8";"0";"0";"0";"0";"pioggia "
Frabosa Sottana;8/6/2010;"21";"18";"25";"18";"79";"6";"6";"9";"0";"1011";"0";"0";""
Frabosa Sottana;9/6/2010;"22";"17";"25";"16";"71";"6";"6";"12";"0";"1012";"0";"0";"pioggia temporale "
Frabosa Sottana;10/6/2010;"21";"17";"23";"16";"75";"9";"4";"7";"0";"1014";"0";"0";""
Frabosa Sottana;11/6/2010;"23";"16";"27";"16";"63";"9";"5";"8";"0";"1012";"0";"0";""
Frabosa Sottana;12/6/2010;"23";"19";"26";"18";"73";"9";"7";"13";"0";"1010";"0";"0";"temporale "
Frabosa Sottana;13/6/2010;"20";"16";"23";"16";"80";"10";"6";"12";"0";"1011";"0";"0";"pioggia temporale "
Frabosa Sottana;14/6/2010;"20";"13";"24";"16";"78";"8";"6";"13";"0";"1012";"0";"0";""
Frabosa Sottana;15/6/2010;"16";"16";"17";"16";"97";"3";"9";"14";"0";"1014";"0";"0";"pioggia "
Frabosa Sottana;16/6/2010;"18";"16";"21";"17";"93";"7";"8";"13";"0";"1010";"0";"0";"pioggia "
Frabosa Sottana;17/6/2010;"17";"14";"19";"14";"83";"10";"8";"14";"0";"1013";"0";"0";"pioggia temporale "
Frabosa Sottana;18/6/2010;"20";"11";"25";"14";"68";"10";"5";"7";"0";"1009";"0";"0";""
Frabosa Sottana;19/6/2010;"18";"13";"23";"14";"81";"9";"11";"20";"28";"1001";"0";"0";"pioggia temporale "
Frabosa Sottana;20/6/2010;"14";"11";"17";"10";"77";"9";"9";"24";"0";"1003";"0";"0";"pioggia temporale "
Frabosa Sottana;21/6/2010;"19";"11";"23";"9";"56";"10";"5";"8";"0";"1009";"0";"0";""
Frabosa Sottana;22/6/2010;"21";"12";"24";"12";"57";"10";"5";"6";"0";"1014";"0";"0";""
Frabosa Sottana;23/6/2010;"21";"16";"24";"12";"56";"10";"4";"7";"0";"1017";"0";"0";""
Frabosa Sottana;24/6/2010;"23";"14";"27";"15";"63";"10";"5";"6";"0";"1015";"0";"0";""
Frabosa Sottana;25/6/2010;"21";"16";"26";"16";"75";"8";"4";"7";"0";"1014";"0";"0";""
Frabosa Sottana;26/6/2010;"24";"16";"28";"16";"62";"8";"5";"7";"0";"1013";"0";"0";""
Frabosa Sottana;27/6/2010;"25";"17";"29";"17";"66";"9";"4";"7";"0";"1017";"0";"0";""
Frabosa Sottana;28/6/2010;"26";"21";"30";"18";"64";"7";"5";"8";"0";"0";"0";"0";""
Frabosa Sottana;29/6/2010;"23";"18";"28";"18";"75";"7";"6";"12";"0";"1017";"0";"0";"pioggia temporale "
Frabosa Sottana;30/6/2010;"25";"17";"29";"17";"65";"10";"4";"6";"0";"1017";"0";"0";""
